Company,Ticker,First day of listing,GICS Industry[5]
ABG Sundal Collier,ABG.OL,4 July 1991,Investment Banking & Brokerage
AF Group,AFG.OL,8 September 1997,Construction & Engineering
Akastor,AKA.OL,2 April 2004,Oil & Gas Equipment & Services
Aker,AKER.OL,8 September 2004,Multi-Sector Holdings
Aker BP,AKERBP.OL,23 December 2009,Oil & Gas Exploration & Production
Aker Solutions,AKSO.OL,29 September 2014,Oil & Gas Equipment & Services
AKVA Group,AKVA.OL,10 November 2006,Industrial Machinery
American Shipping Company,AMSC.OL,11 July 2005,Marine
Carasent,CARA.OL,8 April 2002,Application Software
Aqualis,AQUA.OL,13 August 2014,Oil & Gas Equipment & Services
Archer,ARCHER.OL,26 November 2010,Oil & Gas Drilling
Arcus,ARCUS.OL,1 December 2016,Distillers & Vintners
Arendals Fossekompani,AFK.OL,15 July 1991,Independent Power Producers & Energy Traders
Asetek,ASETEK.OL,20 March 2013,"Technology Hardware, Storage & Peripherals"
Atea,ATEA.OL,28 March 1985,IT Consulting & Other Services
Atlantic Petroleum,ATLA-NOK.OL,12 December 2013,Oil & Gas Exploration & Production
Aurskog Sparebank*,AURG.OL,12 August 1998,Regional Banks
Austevoll Seafood,AUSS.OL,11 October 2006,Packaged Foods & Meats
Avance Gas Holding,AVANCE.OL,15 April 2014,Oil & Gas Storage & Transportation
Awilco Drilling,AWDR.OL,4 September 2018,Oil & Gas Drilling
Axactor,ACR.OL,21 November 1997,Specialized Finance
B2Holding,B2H.OL,8 June 2016,Specialized Finance
Bakkafrost,BAKKA.OL,26 March 2010,Packaged Foods & Meats
Belships,BEL.OL,2 January 1939,Marine
Endúr,ENDUR.OL,30 June 2008,Industrial Conglomerates
BerGenBio,BGBIO.OL,7 April 2017,Biotechnology
Biotec Pharmacon,BIOTEC.OL,4 November 2005,Biotechnology
Bonheur,BON.OL,2 January 1920,Industrial Conglomerates
Borgestad,BOR.OL,2 January 1920,Real Estate Operating Companies
Borr Drilling,BDRILL.OL,30 August 2017,Oil and Gas Drilling
Borregaard,BRG.OL,18 October 2012,Specialty Chemicals
Bouvet ASA,BOUVET.OL,30 November 2010,IT Consulting & Other Services
BW LPG,BWLPG.OL,21 November 2013,Oil & Gas Storage & Transportation
BW Offshore Limited,BWO.OL,31 May 2006,Oil & Gas Storage & Transportation
Byggma,BMA.OL,27 August 1997,Building Products
ContextVision,COV.OL,17 March 1997,Health Care Technology
Crayon Group Holding,CRAYON.OL,8 November 2017,System Software
Data Respons,DAT.OL,1 December 1997,IT Consulting & Other Services
DNB ASA,DNB.OL,17 August 1992,Diversified Banks
DNO International,DNO.OL,16 November 1981,Oil & Gas Exploration & Production
DOF ASA,DOF.OL,4 October 2000,Oil & Gas Equipment & Services
Eidesvik Offshore,EIOF.OL,27 June 2005,Oil & Gas Equipment & Services
Elkem,ELK.OL,22 March 2018,Specialty Chemicals
Electromagnetic Geoservices,EMGS.OL,30 March 2007,Oil & Gas Equipment & Services
Entra,ENTRA.OL,17 October 2014,Real Estate Operating Companies
Equinor,EQNR.OL,18 June 2001,Integrated Oil & Gas
Europris,EPR.OL,19 June 2015,General Merchandise Stores
Evry,EVRY.OL,21 June 2017,IT Consulting & Other Services
Fjord1,FJORD.OL,15 August 2017,Marine
Fjordkraft Holding,FKRAFT.OL,21 March 2018,Electric Utilities
FLEX LNG,FLNG.OL,18 July 2017,Oil & Gas Storage & Transportation
Frontline Ltd.,FRO.OL,9 November 1998,Marine
Funcom,FUNCOM.OL,13 December 2005,Home Entertainment Software
Gaming Innovation Group,GIG.OL,27 January 2005,Internet Software & Services
GC Rieber Shipping,RISH.OL,9 March 2005,Oil & Gas Equipment & Services
Gjensidige Forsikring,GJF.OL,10 December 2010,Multi-line Insurance
Golden Ocean Group,GOGL.OL,1 April 2015,Marine
Goodtech,GOD.OL,20 January 1984,Industrial Machinery
Grieg Seafood,GSF.OL,21 June 2007,Packaged Foods & Meats
Gyldendal ASA,GYL.OL,2 January 1980,Publishing
Höegh LNG Holdings,HLNG.OL,5 July 2011,Oil & Gas Storage & Transportation
Havila Shipping,HAVI.OL,24 May 2005,Oil & Gas Equipment & Services
Havyard Group,HYARD.OL,1 July 2014,Construction Machinery & Heavy Trucks
Helgeland Sparebank*,HELG.OL,3 February 2000,Regional Banks
Hexagon Composites,HEX.OL,30 January 1997,Metal & Glass Containers
Hiddn Solutions,HIDDN.OL,16 July 2001,"Technology Hardware, Storage & Peripherals"
Høland og Setskog Sparebank*,HSPG.OL,17 August 1999,Regional Banks
IDEX ASA,IDEX.OL,11 May 2015,Electronic Equipment & Instruments
Incus Investor,INC.OL,4 December 1995,Industrial Conglomerates
Infront,INFRNT.OL,29 September 2017,Financial Exchanges & Data
InterOil Exploration and Production,IOX.OL,19 July 2006,Integrated Oil & Gas
Sogn Sparebank,SOGN.OL,20 January 1997,Regional Banks
Itera,ITE.OL,27 January 1999,IT Consulting & Other Services
Jinhui Shipping and Transport,JIN.OL,24 October 1994,Marine
Jæren Sparebank*,JAEREN.OL,3 May 2007,Regional Banks
Kid,KID.OL,2 November 2015,Homefurnishing Retail
Kitron,KIT.OL,16 January 1998,Electronic Manufacturing Services
Komplett Bank,KOMP.OL,10 November 2017,Consumer Finance
Kongsberg Automotive,KOA.OL,24 June 2005,Auto Parts & Equipment
Kongsberg Gruppen,KOG.OL,13 December 1993,Aerospace & Defence
Kværner,KVAER.OL,8 July 2011,Oil & Gas Equipment & Services
Lerøy Seafood Group,LSG.OL,3 June 2002,Packaged Foods & Meats
Magseis,MSEIS.OL,1 June 2018,Oil & Gas Equipment & Services
Mowi,MOWI.OL,1 July 1997,Packaged Foods & Meats
Medistim,MEDI.OL,28 May 2004,Health Care Equipment
Melhus Sparebank*,MELG.OL,9 November 1998,Regional Banks
Multiconsult,MULTI.OL,22 May 2015,Research & Consulting Services
Napatech,NAPA.OL,6 December 2013,"Technology Hardware, Storage & Peripherals"
Navamedic,NAVA.OL,31 March 2006,Pharmaceuticals
NEL Hydrogen,NEL.OL,27 August 2004,Industrial Machinery
NEXT Biometrics Group,NEXT.OL,17 December 2015,Electronic Equipment & Instruments
Northern Drilling,NODL.OL,26 October 2007,Oil & Gas Drilling
MPC Container Ships,MPCC.OL,3 May 2018,Marine
Nordic Nanovector,NANOV.OL,23 March 2015,Biotechnology
Nordic Semiconductor,NOD.OL,25 April 1996,Semiconductors
Norsk Hydro,NHY.OL,16 April 1909,Aluminium
Norway Royal Salmon,NRS.OL,29 March 2011,Packaged Foods & Meats
Norwegian Air Shuttle,NAS.OL,18 December 2003,Airlines
Norwegian Energy Company,NOR.OL,9 November 2007,Oil & Gas Exploration & Production
Norwegian Finans Holding,NOFI.OL,17 June 2016,Consumer Finance
Norwegian Property,NPRO.OL,15 November 2006,Real Estate Operating Companies
NRC Group,NRC.OL,11 January 1988,Construction & Engineering
NTS ASA,NTS.OL,1 April 1992,Marine
Ocean Yield,OCY.OL,5 July 2013,Oil & Gas Storage & Transportation
Oceanteam Shipping,OTS.OL,8 February 2007,Oil & Gas Storage & Transportation
Odfjell Drilling,ODL.OL,27 September 2013,Oil & Gas Drilling
Odfjell ser. A,ODF.OL,5 May 1986,Marine
Odfjell ser. B,ODFB.OL,11 May 1989,Marine
Olav Thon Eiendomsselskap,OLT.OL,29 April 1983,Real Estate Operating Companies
Orkla Group,ORK.OL,2 January 1934,Packaged Foods & Meats
Panoro Energy,PEN.OL,8 June 2010,Oil & Gas Exploration & Production
Pareto Bank,PARB.OL,12 December 2016,Diversified Banks
PCI Biotech Holding,PCIB.OL,27 April 2018,Pharmaceuticals
Pexip ASA,PEXIP.OL,14 May 2020,Software & Services
Petroleum Geo-Services,PGS.OL,26 August 1992,Oil & Gas Equipment & Services
Petrolia,PSE.OL,12 May 1997,Integrated Oil & Gas
Photocure,PHO.OL,29 May 2000,Pharmaceuticals
Polarcus,PLCS.OL,20 June 2012,Oil & Gas Equipment & Services
Polaris Media,POL.OL,20 October 2008,Publishing
poLight,PLT.OL,1 October 2018,"Technology Hardware, Storage & Peripherals"
Prosafe,PRS.OL,23 April 1997,Oil & Gas Equipment & Services
Protector Forsikring,PROTCT.OL,25 May 2007,Property & Casualty Insurance
Q-Free,QFR.OL,3 April 2002,"Technology Hardware, Storage & Peripherals"
Questerre Energy Corporation,QEC.OL,17 June 2005,Integrated Oil & Gas
RAK Petroleum,RAKP.OL,7 November 2014,Oil & Gas Exploration & Production
Reach Subsea,REACH.OL,2 January 1920,Oil & Gas Equipment & Services
REC Silicon,REC.OL,9 May 2006,Semiconductors
SalMar,SALM.OL,8 May 2007,Packaged Foods & Meats
Salmones Camanchaca,SALMON.OL,2 February 2018,Packaged Foods & Meats
Sandnes Sparebank*,SADG.OL,27 October 1995,Regional Banks
SAS Group,SASNO.OL,21 February 1997,Airlines
SATS,SATS.OL,23 October 2019,Consumer Cyclical
Sbanken,SBANK.OL,2 November 2015,Diversified Banks
Scatec,SCATC.OL,2 October 2014,Renewable Electricity
Schibsted ser. A,SCHA.OL,15 July 1992,Publishing
Schibsted ser. B,SCHB.OL,1 June 2015,Publishing
The Scottish Salmon Company,SSC.OL,29 April 2011,Packaged Foods & Meats
S.D. Standard Drilling,SDSD.OL,31 May 2017,Oil & Gas Drilling
SeaBird Exploration,SBX.OL,11 April 2006,Oil & Gas Exploration & Production
Seadrill,SDRL.OL,22 November 2005,Oil & Gas Drilling
Self Storage Group,SSG.OL,27 October 2017,Diversified Support Services
Selvaag Bolig,SBO.OL,14 June 2012,Homebuilding
Shelf Drilling,SHLF.OL,25 June 2018,Oil & Gas Drilling
Siem Offshore,SIOFF.OL,12 August 2005,Oil & Gas Equipment & Services
Skue Sparebank*,SKUE.OL,19 October 1998,Regional Banks
Solon Eiendom,SOLON.OL,5 May 2000,Homebuilding
Solstad Farstad,SOFF.OL,27 October 1997,Oil & Gas Equipment & Services
SpareBank 1 BV*,SBVG.OL,27 May 1994,Regional Banks
SpareBank 1 Nord–Norge*,NONG.OL,2 May 1994,Regional Banks
SpareBank 1 Nøtterøy–Tønsberg*,SBTE.OL,3 October 2018,Regional Banks
SpareBank 1 Ringerike Hadeland*,RING.OL,13 June 1996,Regional Banks
SpareBank 1 SMN*,MING.OL,2 May 1994,Regional Banks
SpareBank 1 SR-Bank,SRBANK.OL,2 January 2012,Regional Banks
SpareBank 1 Nordvest*,SBTE.OL,3 October 2017,Regional Banks
SpareBank 1 Østfold Akershus*,SOAG.OL,1 November 2005,Regional Banks
SpareBank 1 Østlandet*,SPOL.OL,13 June 2017,Regional Banks
Sparebanken Møre*,MORG.OL,12 June 1989,Regional Banks
Sparebanken Sør*,SOR.OL,14 July 1998,Regional Banks
Sparebanken Vest*,SVEG.OL,4 January 1995,Regional Banks
Sparebanken Øst*,SPOG.OL,22 February 1989,Regional Banks
Star Bulk Carriers,SBLK.OL,16 July 2018,Marine
Stolt-Nielsen,SNI.OL,7 March 2001,Marine
Storebrand,STB.OL,21 June 1993,Life & Health Insurance
Storm Real Estate,STORM.OL,6 July 2010,Real Estate Operating Companies
StrongPoint,STRONG.OL,11 June 2001,"Technology Hardware, Storage & Peripherals"
Subsea 7,SUBC.OL,5 June 1997,Oil & Gas Exploration & Production
Targovax,TRVX.OL,23 March 2017,Biotechnology
Team Tankers International,TEAM.OL,9 March 2015,Marine
Telenor,TEL.OL,4 December 2000,Integrated Telecommunication Services
TGS-NOPEC Geophysical Company,TGS.OL,30 October 1997,Oil & Gas Equipment & Services
Thin Film Electronics ASA,THIN.OL,27 February 2015,"Technology Hardware, Storage & Peripherals"
Tomra Systems,TOM.OL,18 January 1985,Environmental & Facilities Services
Totens Sparebank*,TOTG.OL,18 December 1995,Regional Banks
Treasure ASA,TRE.OL,8 June 2016,Marine
Veidekke,VEI.OL,23 June 1986,Construction & Engineering
Vistin Pharma,VISTIN.OL,3 October 2018,Pharmaceuticals
Volue,VOLUE.OL,4 May 2021,Computer Software
Voss Veksel- og Landmandsbank,VVL.OL,1 April 1992,Regional Banks
Webstep,WSTEP.OL,11 October 2017,IT Consulting & Other Services
Wilh. Wilhelmsen Holding ser. A,WWI.OL,2 January 1980,Marine
Wilh. Wilhelmsen Holding ser. B,WWIB.OL,7 August 1989,Marine
Wilson,WILS.OL,17 March 2005,Marine
XXL,XXL.OL,3 October 2014,Specialty Stores
Yara International,YAR.OL,25 March 2004,Fertilizer & Agricultural Chemicals
Zalaris,ZAL.OL,20 June 2014,Human Resource & Employment Services
